,Country,Carbon,Methane,Nitrogen,FGas
352,Belgium,0.92,8.25,0.31,0.09
353,Chad,0.91,8.14,0.31,0.08
354,Angola,0.89,8.14,0.31,0.08
355,United Kingdom,0.89,8.06,0.3,0.08
356,India,0.88,7.95,0.3,0.07
357,Uzbekistan,0.87,7.91,0.3,0.06
358,Argentina,0.85,7.81,0.3,0.06
359,Jordan,0.85,7.77,0.3,0.06
360,Sri Lanka,0.83,7.7,0.29,0.04
361,Mongolia,0.82,7.69,0.28,0.06
362,Tanzania,0.82,7.63,0.28,0.04
363,Bulgaria,0.81,7.58,0.28,0.04
364,Pakistan,0.81,7.54,0.28,0.04
365,Kuwait,0.81,7.5,0.28,0.03
366,Argentina,0.8,7.46,0.28,0.02
367,Kuwait,0.8,7.42,0.27,0.02
368,Myanmar,0.78,7.41,0.27,0.02
369,Bangladesh,0.78,7.35,0.27,0.01
370,India,0.77,7.25,0.27,0.02
371,Mali,0.77,7.18,0.27,0.02
372,Mexico,0.75,7.13,0.27,0.01
373,Paraguay,0.73,7.1,0.27,0.0
374,Saudi Arabia,0.73,7.09,0.25,0.01
375,Vietnam,0.73,7.05,0.25,0.01
376,Brazil,0.72,7.02,0.25,0.01
377,Italy,0.71,7.01,0.25,0.01
378,Sudan,0.71,7.0,0.25,0.01
379,Bolivia,0.69,6.99,0.24,0.01
380,Iran,0.68,6.94,0.24,0.0
381,Mexico,0.68,6.91,0.24,0.0
382,Bosnia and Herzegovina,0.66,6.81,0.24,0.0
383,Argentina,0.65,6.65,0.23,0.0
384,Italy,0.65,6.64,0.23,0.0
385,Russia,0.65,6.57,0.23,0.0
386,Colombia,0.64,6.55,0.23,1094.87
387,Brazil,0.64,6.48,0.23,259.05
388,Niger,0.64,6.46,0.23,165.29
389,Kenya,0.62,6.45,0.23,66.33
390,Nepal,0.61,6.4,0.22,92.05
391,Bolivia,0.61,6.22,0.22,46.77
392,Qatar,0.59,6.17,0.22,48.79
393,Egypt,0.59,6.09,0.22,44.14
394,Qatar,0.58,6.04,0.22,28.13
395,Colombia,0.58,6.01,0.22,21.29
396,Nicaragua,0.57,6.0,0.22,18.57
397,Venezuela,0.56,5.99,0.22,20.12
398,Ukraine,0.53,5.95,0.22,15.04
399,Qatar,0.52,5.9,0.22,15.31
400,Sudan,0.51,5.85,0.22,14.13
401,Austria,0.5,5.74,0.21,18.42
402,South Sudan,0.5,5.73,0.21,13.33
403,Uruguay,0.49,5.73,0.21,10.71
404,Kenya,0.49,5.58,0.21,14.91
405,Thailand,0.48,5.58,0.21,13.34
406,Ghana,0.48,5.52,0.21,9.29
407,Finland,0.47,5.45,0.21,10.81
408,Kuwait,0.47,5.43,0.21,14.28
409,Angola,0.46,5.42,0.2,9.3
410,Belgium,0.45,5.41,0.2,7.53
411,Algeria,0.44,5.37,0.2,8.76
412,Peru,0.44,5.35,0.2,9.03
413,Oman,0.43,5.33,0.2,11.09
414,Angola,0.43,5.31,0.19,7.17
415,Brazil,0.43,5.24,0.19,5.85
416,Oman,0.4,5.19,0.19,9.0
417,India,0.4,5.06,0.19,8.46
418,Guatemala,0.4,5.02,0.19,5.78
419,Poland,0.38,4.94,0.19,4.86
420,Uganda,0.38,4.94,0.19,5.36
421,Australia,0.37,4.91,0.19,5.18
422,Kazakhstan,0.36,4.88,0.18,5.79
423,Somalia,0.36,4.88,0.17,3.98
424,Thailand,0.36,4.87,0.17,3.58
425,Cambodia,0.35,4.87,0.17,3.21
426,Laos,0.35,4.83,0.17,3.22
427,South Africa,0.35,4.82,0.17,3.11
428,Mongolia,0.34,4.77,0.17,2.72
429,Trinidad and Tobago,0.34,4.67,0.17,2.95
430,Egypt,0.33,4.66,0.16,3.06
431,Nigeria,0.33,4.65,0.16,2.88
432,Iran,0.33,4.6,0.16,2.52
433,World,0.32,4.59,0.16,2.73
434,Turkey,0.32,4.59,0.16,2.43
435,Iran,0.32,4.57,0.16,2.39
436,Spain,0.3,4.55,0.15,2.55
437,Uganda,0.3,4.53,0.15,2.98
438,Portugal,0.3,4.51,0.15,2.31
439,Egypt,0.3,4.45,0.15,2.86
440,Somalia,0.29,4.4,0.15,2.86
441,France,0.28,4.37,0.15,1.92
442,Pakistan,0.28,4.33,0.15,2.59
443,Angola,0.28,4.32,0.15,1.7
444,Lebanon,0.28,4.32,0.14,1.89
